Name,style,Exterior color,interior color,Engine,drive type,Fuel Type,Transmission,Mileage,mpg city,mpg highway,price,Year,Engine V,Brand
Titan,Pickup Truck,Deep Blue Pearl,Black,V-8 Gas,4WD,Gas,Automatic,82230,15,21,35620,2018,5.6,Nissan
Civic,Hatchback,Sonic Gray Pearl,Unknown,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,24282,31,40,24999,2020,1.5,Honda
Charger,Sedan,Indigo Blue,Brazen Gold/Black,V-8 Gas,RWD,Gas,Automatic,19468,16,25,41999,2018,5.7,Dodge
F-150,Pickup Truck,Shadow Black,Medium Earth Gray,V-6 Gas Turbocharged,4WD,Gas,Automatic,195205,18,23,20995,2018,2.7,Ford
Altima,Sedan,White,Black,Inline-4 Gas,FWD,Gas,Automatic,92366,27,38,10995,2015,2.5,Nissan
Civic,Sedan,Crystal Black Pearl,Black,Inline-4 Gas,FWD,Gas,Automatic,24859,30,38,17499,2019,2.0,Honda
F-150,Pickup Truck,Silver,Medium Earth Gray,V-8 Gas,4WD,Gas,Automatic,45891,18,23,30500,2019,5.0,Ford
4Runner,SUV,Magnetic Gray Metallic,Black/Graphite,V-6 Gas,RWD,Gas,Automatic,192559,17,22,19700,2016,4.0,Toyota
Malibu,Sedan,Mosaic Black Metallic,Jet Black,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,129974,27,36,13972,2018,1.5,Chevrolet
Terrain,SUV,Quicksilver Metallic,Jet Black,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,190868,26,30,15999,2018,1.5,GMC
F-150,Pickup Truck,Silver,Gray,V-6 Gas,4WD,Gas,Automatic,109353,18,23,26991,2018,3.3,Ford
F-150,Pickup Truck,Shadow Black,Black,V-6 Gas,4WD,Gas,Automatic,52338,18,23,31500,2018,3.3,Ford
Malibu,Sedan,Black Cherry Metallic,Jet Black,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,45988,29,36,18590,2020,1.5,Chevrolet
